SentimenTweet,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url
-1sekalipun udah bisa booking tp pas payment begini pls lah sistemnya jelek bgt benerin @KAI121 https://t.co/RbzmCP5jMx,1.85E+18,https://pbs.twimg.com/media/GbApcglbQAAxW2a.jpg,hllwimorsnt,in,,0,0,0,https://x.com/hllwimorsnt/status/1851025019998257432
-1WHAT THE FUCK?! Ini beneran ya kalo beneran JAHAT BANGET KUNING TAI JELEK,1.85E+18,,,in,Trivia : Love,0,0,0,https://x.com/runnamu/status/1851025004575731978
-1@SeputarMadrid @MadridXtra Gila.... jelek banget tuh acara cuma karena Madrid gak datang. Boikot @ballondor!!!,1.85E+18,,SeputarMadrid,in,,0,0,0,https://x.com/penasaranco/status/1851024693312307258
-1diusir gimana nih nder? clueless bgt apa janganÂ? sender yg ga ngikutin rules di desa tsb? makannya diusir saran aja banaran ga cocok buat mahasiswa yg suka anehÂ? yaaa nder jgn ampe karena habbit jelek mu yg kamu bawa malah jdi jelekÂ? in suatu daerah xixixi,1.85E+18,,,in,,0,0,0,https://x.com/kriiinomercy2/status/1851024638052352457
-1Jelek akhlak jelek pula mukanya,1.85E+18,,,in,,0,0,0,https://x.com/winniethzy/status/1851022630025138281
1@V3g3L Sabar Bu. Saya dulu lulusan ITS kerja dan kena PHK saat pandemi. Alhamdulillah walau sulit cari kerja lagi. Tapi Allah buka jalan. Usaha jualan makanan. Gak jelek kok hanya kurangi gengsi. Untuk gaji ya lebih baik drpd jadi karyawan. Coba dah wirausaha.,1.85E+18,,V3g3L,in,,0,0,0,https://x.com/Ajaibbener5758/status/1851020292384309577
-1INI LABEL KUNING TAI JELEK BISA GAK SIH DI BUBARIN SAJA?,1.85E+18,,,in,carat ; sai ; onedoor ; zerose,0,0,0,https://x.com/thisisfina22/status/1851020215368421527
-1Gua yakin pasti semua artist diomongin jelek sm ni company butut orgil lu sampe 18rb pages.,1.85E+18,,,in,"Bogor Tengah, Indonesia",0,0,0,https://x.com/dhnrlhdy/status/1851020075110973655
-1Pemain mahal beban attitude jelek ,1.85E+18,,,in,Indonesia,0,0,0,https://x.com/hsn19/status/1851019877567586680
-1@coppamagz Bjir bahkan artis di bawah label mereka jg kena label apaan sih ini jelek bgt,1.85E+18,,coppamagz,in,,0,0,0,https://x.com/anemomena/status/1851019419239268629
-1@fcbfemeni_idn PR dia emang jelek sih apalagi Caro bukan pemain yg aktif di sosmed,1.85E+18,,fcbfemeni_idn,in,,0,1,0,https://x.com/mdee288/status/1851019351614480418
-1SM itu udah paling bobrok. Tahunya ada yang ngalahin bobroknya. ADUH. STOP BELA AGENSI JELEK,1.85E+18,,,in,bussines account ,0,0,0,https://x.com/therfodium/status/1851019316504006895
1baca buku lu nder,1.85E+18,,,in,helua,0,1,0,https://x.com/uglyduckIin/status/1851019241375613139
-1@pearlsjungwon WOY KENAPA DUDUNG JELEK. jangan shamming anak gw.,1.85E+18,,pearlsjungwon,in,,1,0,0,https://x.com/pearlshanbin/status/1851019046969540708
-1@manutd_world Buang-buangin tuh pemain senior taik macem Rasford Shaw Dalot Lindelof Bruno. Sama pemain era ETH yg wajib dibuang tuh Casemiro&amp; Antony. Mereka-mereka tuh pemain sampah! Gaji gede tapi perform jelek angin-anginan ngambekan. Zaman Mou &amp; Ole juga gini beritanya ,1.85E+18,,manutd_world,in,"West Java, Indonesia",0,0,0,https://x.com/hotspot_barokah/status/1851018966883594414
-1@imyours_all I like said lu udh tua jelek ,1.85E+18,,imyours_all,in,,0,0,0,https://x.com/Irrrraaaaa_/status/1851018520022434106
-1@buyungaqua @SeputarMadrid @MadridXtra Lah kalau dia emg maennya jelek terus suka protes ya jelekin dia as vini aja. Ngapain bawa ras sama warna kulit and normalisasi racism?,1.85E+18,,buyungaqua,in,"London, England",0,0,0,https://x.com/mudrykjago/status/1851018496618217895
-1absen list yang mau ngancurin itu gedung jelek kuning jelek najong kentut beserta orang orang busuk didalamnya,1.85E+18,,,in,seventeen tws haechan enthu à·†âÅ ,0,0,0,https://x.com/etherieli/status/1851018081348579528
-1@shaharaly jelek si platingannyah ï¸è,1.85E+18,,shaharaly,in,isfp,0,0,0,https://x.com/geminiangirll/status/1851017910938190078
1@Versi_Jelek @officialJKT48 Ini kayaknya terjadi di semua alun alun deh,1.85E+18,,Versi_Jelek,in,,0,0,0,https://x.com/AndzarT/status/1851017630871920785
-1Ih jelek betul,1.85E+18,,,in,ìœ?giâ™¡,0,0,0,https://x.com/piscesyunki/status/1851002842657804485
-1@belanjaholics Kalau pelakor/selingkuhan pasti mukanya jelek,1.85E+18,,belanjaholics,in,,0,0,0,https://x.com/Nayykmll/status/1851002830007779609
-1eh udh jelek bgt views anu nya,1.85E+18,,,in,,0,0,0,https://x.com/l0semile/status/1851001779770794077
-1\TAKDIR HP GUE JELEK MULU BANGSATTTTTT,1.85E+18,,tastybaekjom,in,"Toskana, Italy",0,1,0,https://x.com/tastybaekjom/status/1850999038034002043
-1Jelek bgt sel,1.85E+18,,,in,kadang nsfw. 21,0,0,0,https://x.com/myamoresnr/status/1850998750346698884
-1jelek banget ajg,1.85E+18,,,in,,0,0,0,https://x.com/eatmysaladd/status/1850996913795113469
-1jelek banget anjir wkwkwkwkwkwkwk,1.85E+18,,,in,"Yogyakarta, Indonesia",0,1,0,https://x.com/3002bu/status/1850976948757152002
-1ni sinyal telkomsel jelek banget dah,1.85E+18,,,in,,0,1,0,https://x.com/babilohh/status/1850976781639303275
-1@luculucuaaan udah jelek nyusahin lagi,1.85E+18,,luculucuaaan,in,Indonesia,0,0,0,https://x.com/strawberrister/status/1850974255783297499
1i'd like to apologize in advance kalo sewaktu-waktu gua misuh tapi bahasanya jelek banget disini,1.85E+18,,,in,sasuke mana,0,0,0,https://x.com/rueroseokuro/status/1850974126229606653
-1@kemkomingfo @unesa_fess Najis jelek bgt kok pede sih foto kyk gitu? jijik bgt liatnya,1.85E+18,,kemkomingfo,in,,0,0,0,https://x.com/swicherlixie/status/1850974068658602021
-1muka gw jelek banget anjir ,1.85E+18,,,in,,0,0,0,https://x.com/byou_o/status/1850973812717740329
-1cherry bomb ajg jelek bgt ,1.85E+18,,iruron9,in,RIIZE will continue to rise,0,1,0,https://x.com/iruron9/status/1850973785689846164
-1@anonanomali kenapa ya rata rata muka tukang bully tuh kaya pantat? alias jelek bgt,1.85E+18,,anonanomali,in,,0,0,0,https://x.com/ssstavrlll/status/1850968442217865360
-1jadi ga mood buka weverse jelek bgt sialan... weverse yg tadinya txt universe warna ijo fandom colornya txt. Terus malah diganti jadi item??!?! Suram jelek. Mana cheers button yg gue suka bgt itu diganti jadi love jelek bgt. Pokoknya jelek.,1.85E+18,,,in,neverland my love,0,0,0,https://x.com/wayjeyna/status/1850968295572480445
-1@tanyakanrl kaca jelek bgt anjir mblidut mblidut begitu ah,1.85E+18,,tanyakanrl,in,infj,0,0,0,https://x.com/whimsyfleur/status/1850968195248898165
-1@akuselektif HAH di aku kok jelek.... @triindonesia pmksd km bgusnya di beberapa daerah sj. dh lelah ak sm jaringan anomalimu,1.85E+18,,akuselektif,in,,0,1,0,https://x.com/blueluree/status/1850968150608921040
1FAKK NIATNYA BACA BUAT BESOK TAPI INI SERU BANGET SAMPE GAK SADAR UDH JAM SEGINI KENAPA GUE GAK BACA DARI DULU SIHHHH BAGUS BGT KAK KAL KALO BIKIN AU GAK PERNAH JELEK BAGUS TERUS DEH HERAN,1.85E+18,,,in,"Edinburgh, Scotland",0,0,0,https://x.com/2104files/status/1850968130761433332
-1@kaktuspessoa eh bahasalu hari ini jelek jelek ye,1.85E+18,,kaktuspessoa,in,,0,1,0,https://x.com/mmonstruck/status/1850967884836794401
-1@marrtirnez oktober jelek banget yaAllah,1.85E+18,,marrtirnez,in,"Edinburgh, Scotland",0,0,0,https://x.com/cindetr/status/1850967862623814024
-1@belanjaholics jelek banget modusnya,1.85E+18,,belanjaholics,in,,0,0,0,https://x.com/bocilkematiaa/status/1850967748492607901
-1@ssingssayaflu Setujuuu. Statement gitu tuh kesannya kalau ceweknya jelek gapapa diselingkuhin,1.85E+18,,ssingssayaflu,in,,0,0,0,https://x.com/thirdsdays/status/1850967290742804690
-1Jelek bgt suara teriakan gue,1.85E+18,,,in,homophobic dni,0,0,0,https://x.com/nolairre/status/1850966965705380351
-1BAHKAN dia juga nggak denger cerita itu dari eun onya langsung!!! buset jelek bgt karakternya eun o maap ajah,1.85E+18,,_kebunmemori,in,,0,1,0,https://x.com/_kebunmemori/status/1850966915055014140
-1@ccordonblue Jelek apa bagus overall?,1.85E+18,,ccordonblue,in,Atlas,0,1,0,https://x.com/kojulsky/status/1850966865360929127
-1kasian vernon mah mau jelek aja susah. gabisa gitu. ckck. https://t.co/qgSIDGsgwm,1.85E+18,https://pbs.twimg.com/media/Ga_0i4VaYAAqV0Y.jpg,,in,99z | caratland,0,0,0,https://x.com/svtaestro/status/1850966854707396801
-1jelek iya stupid iya man pick a struggle,1.85E+18,,,in,she/her,0,1,1,https://x.com/eypuiu/status/1850966746225918253
-1@tenbaez @nani7294 Ya tp suatu saat kebenaran bakal ttp terungkap walopun tertunda dan ujung2nya pasti hiatus lama jg.. Jd lebih baik udh keungkap di 2019 kan kasus ini ada krn doi ttp gunain nar**b* sblumnya. Drpd udh gede bgt tiba2 brkasus. Lagian mrk ga trlalu gede krn treat jelek YG dulu,1.85E+18,,tenbaez,in,,0,1,0,https://x.com/Hehehenngg/status/1850966435172139512
-1LOL at this rate mau disembunyiin kayak apa juga reputasi hybe tu udah JELEK HAHAHAHAHAHHAHAHAHAHA Mending jujur dan minta maaf dan perbaiki diri trus BUBAR WKWKWKWKWK,1.85E+18,,,in,,0,0,0,https://x.com/1wintercherry7_/status/1850966249662267682
-1gue langsung jawab satu tapi salah katanya yang bener 9 kenapa gue jawab satu soalnya kata guru matematika gue dulu yang diitung yang ada didalam kurung dulu terus lanjut ke perkalian nah baru dibagi. pantes nilai matematika gue jelek terus ternyata dikasih cara yang salah ,1.85E+18,,,in,atbo and tco only!,0,0,0,https://x.com/gureumbbangz/status/1850966238727717043
-1@itsnagon_ KL JAEHYUN JELEK CWOK LAIN AP ANJ,1.85E+18,,itsnagon_,in,1,0,0,0,https://x.com/flipboogers/status/1850965906807275563
-1ASLIII KENAPA SEKARANG JELEK BANGET elah,1.85E+18,,,in,,0,0,0,https://x.com/ceosszv/status/1850965872942407968
-1tumben banget wifi me jelek bgt?,1.85E+18,,,in,dientot.,0,0,0,https://x.com/brnyao/status/1850965738405990553
-1Jelek bgt editan nya ,1.85E+18,,,in,,0,0,0,https://x.com/iniakulohyaa/status/1850962693492249012
-1Gabisa yura kata dia aku jelek apalagi kalau bengong nambah jelek.. jadi dia milih yang lebih ganteng yura https://t.co/UMSTtUL8BC,1.85E+18,https://pbs.twimg.com/ext_tw_video_thumb/1850960991733051392/pu/img/2IX9k_nRFbuO-XFj.jpg,,in,,0,0,0,https://x.com/ponitenggelam/status/1850962480039936367
-1senang gingsul jelek ku udh ga ada yeay https://t.co/2CW2T3TXsR,1.85E+18,https://pbs.twimg.com/media/Ga_wiDbaMAAQJFU.jpg,,in,amerisya usyara,0,6,0,https://x.com/fayy_aja/status/1850962444652568897
-1@Iamclynophile_ Begitulah sifat jelek manusia,1.85E+18,,Iamclynophile_,in,Indonesia,0,0,0,https://x.com/fitriiyanr/status/1850962432405176773
1WANGIIIII PLISSS kalo ganteng but nasty smell bisa jelek di mata gue tp kalo visual low but he's smells like heaven 100000/10 AUTO GANTENG,1.85E+18,,,in,her,0,0,0,https://x.com/arthapowa/status/1850962328025776303
-1hidup SENDIRI dgn keseharian yg flat itu malah bikinka jd gampang overthinking selalu meratap selalu berpikiran jelek sllu merasa takut ditinggalkan. takut sklika sm diriku sendiri sekarang.,1.85E+18,,Nbilaadn,in,"Kota Makassar, Sulawesi Selata",0,0,0,https://x.com/Nbilaadn/status/1850962264196857860
-1males banget sama ini manhwa bikin nangis jelek mulu,1.85E+18,,,in,stayville | ?Ÿ”??ŸŒˆ,0,0,0,https://x.com/lcvater/status/1850962237634248937
-1@MoreFine007 lagi nggak mood buka dm isinya jelek,1.85E+18,,MoreFine007,in,she. 22+,0,1,0,https://x.com/latiidust/status/1850962206973948079
-1Buat yang udah/sering ngetik jahat itu bikin kalian kepikiran dan jadi gak bisa tidur gak? Ngerasa bersalah gitu atau takut ketikannya berbalik ke diri sendiri. Penasaran aja aku mah kok bisa enteng banget ngetik jelek begitu,1.85E+18,,,in,,0,0,0,https://x.com/intothenewthang/status/1850962142612373763
-1Bruh.. Aku takut bngt. Aku takut ga ngerasain hikmatnya pernikahan gemuruh haru pernikahan aku saat ini masih mikir nikah utk lari dr kenyataan jd aku gamau itu terjadi skrg.. Niatnya jelek banget. Dosa. Harusnya niat nikah itu ibadah. Semoga aku bisa rasain itu nanti.,1.85E+18,,KIMAre_Am,in,Location,0,0,0,https://x.com/KIMAre_Am/status/1850962139001045136
-1@ezrafer Bener sih zra wkwkw setan kok di bully Ga sedih amat tapi ga senang amat. Udah siklus nya ini MU Dia ada ngasi trophy tapi tetap ga bisa tolerir jelek nya MU musim ini,1.85E+18,,ezrafer,in,"Riau, Indonesia",0,0,0,https://x.com/ejafahlevi/status/1850961988433952825
-1@koacipermen jelek bgt cara pikirnya,1.85E+18,,koacipermen,in,"Hangzhou, China ",0,0,0,https://x.com/Veinm4hzy/status/1850961862466392188
-1@love_atta Iya kak aslinya jelek hehe,1.85E+18,,love_atta,in,Soul King Palace,0,0,0,https://x.com/Raden__Ontoseno/status/1850961795273638298
-1@Jenolede kalo elu jelek kagak ada yang mau,1.85E+18,,Jenolede,in,ENG/ID/í•œ â€” selfol. no twin.,0,0,0,https://x.com/rrendun/status/1850961765372449043
1Kata gua Pledis mending lu out deh dari hybe kalian gak sumpek kah? Se jelek-jeleknya Pledis masih jelek hybe,1.85E+18,,,in,perbatasan isekai,0,0,0,https://x.com/Unictta/status/1850959988614971568
-1Ih kimak paling kesal samaa orng yang suke bully jujur di real life kalau orang yg suke bully tu mukennye jelek benar macam kontol sapi kau anjenk. #fucktukangbully,1.85E+18,,,in,"Berlin, Germany",0,0,0,https://x.com/berlianiigsti/status/1850959816426246446
-1muka jelek gini di tuduh faker ,1.85E+18,,,in,,0,0,0,https://x.com/taktabokin/status/1850959708888437129
-1nder image gue jelek bgt di kalian nder @ipcykk @huhaajalah,1.85E+18,,,in,rant (harshwords),0,1,0,https://x.com/hpsengcol/status/1850959443955236907
-1jelek hati lu dzolim bgt.. rubuhin ajalah sikuning ini,1.85E+18,,,in,,0,0,0,https://x.com/horang_ti/status/1850959412351156728
-1Media play hybe kenceng bgt smpe2 nama nj jelek dimata sebagian orang. Banyak berita negatif dan komen hinaan tentang nj tapi akhirnya semua terbongkar klo the biggest victim itu NewJeans. Awalnya byk yg mencemooh klo nj itu gk bersyukur dan serakah.,1.85E+18,,,in,,0,1,4,https://x.com/esthernadean/status/1850959376347218275
-1ih gamau update wv.. jelek banget..,1.85E+18,,,in,homophobic dni !!,0,1,0,https://x.com/ensjakea/status/1850959353630924988
-1@asyrafbae @SeputarMadrid @EFEdeportes benar benar nepotisme organisasi yang jelek @ballondor ,1.85E+18,,asyrafbae,in,wano country ,0,0,0,https://x.com/fazangrh/status/1850959312644162000
-1@everyonennu JELEK LAGU LU KAK ,1.85E+18,,everyonennu,in,Farmer-17. BastÃ©n,0,1,0,https://x.com/minghaooxu/status/1850959237876498736
1@IndiHome Internet Indihome di rumah saya mati. Tolong dibantu ya. 121117300354,1.85E+18,,IndiHome,in,Indonesia,0,1,0,https://x.com/ryudisantoso/status/1849612464171979032
-1@IndiHomeCare Hadeehh gimanasih indihome daerah malang kepanjen mati nih dari semalem. No internet mulu bayar gapernah telat wifi error mulu,1.85E+18,,IndiHomeCare,in,,0,1,0,https://x.com/shnkray/status/1849593412577894711
-1@PmtKominfo min ini indihome kenapa internet nya ga connect sih udh dibayar jg,1.85E+18,,PmtKominfo,in,OPEN,0,2,0,https://x.com/p1nkyfairy/status/1849580109885223167
-1indihome gangguan apa gimana dah? gabisa akses internet.,1.85E+18,,,in,,0,2,0,https://x.com/fkdstr/status/1849489113046773871
1@IndiHome maaf area kuala enok tanah Merah riau apakah internet wifi IndiHome mengalami gangguan??,1.85E+18,,IndiHome,in,,1,0,0,https://x.com/Indinorevibe/status/1849433317197894100
-1@IndiHomeCare Selamat malam.. sudah kami 2 kali telp ke call center tentang keluhan router wifi Indihome yg rusak karena jatuh dan STB yg tidak konek tapi belum ada teknisi untuk mengeceknya. Mohon di tindak lanjuti karena sudah lama kami percaya dan memakai internet ini.,1.85E+18,,IndiHomeCare,in,Indonesia,0,2,0,https://x.com/moelat2/status/1849428631120158941
-1Indihome tidak ada internet hoiii @IndiHomeCare,1.85E+18,,,in,,0,2,0,https://x.com/MaulanaMushab/status/1849413297042567327
-1Indihome knpa sih? Dari pagi sampe maghrib ga bisa akses internet samsek,1.85E+18,,,in,JG-SUB-YK,0,1,0,https://x.com/aaadena/status/1849412457338708214
-1@IndiHome ini kenapa internet tidak bisa ya indihome ? https://t.co/B5LbGTR3Hr,1.85E+18,https://pbs.twimg.com/media/GapjNdXbAAAhdSQ.jpg,IndiHome,in,Suroboyo (14/Jan),0,1,0,https://x.com/amir_ahmed96/status/1849399689906626646
1@IndiHomeCare @IndiHome nomor internet liatnya di bagian apa.,1.85E+18,,IndiHomeCare,in,,0,1,0,https://x.com/telorpuyuu/status/1849081479021875497
-1@IndiHomeCare @IndiHome woi yg bener lah. byr internet lu kudu pake nmr indihome trs nmr indihome ada'a di aplikasi lu trs aplikasi lu gbs dibuka karna disuruh pindah ke mytelkom di mytelkom gbs login karna nomer indihomenya ga gua tau sdngkan no nya ada di aps lu. aneh bner https://t.co/I0BgwEaTd5,1.85E+18,https://pbs.twimg.com/media/Gak1dQga4AAgIsB.jpg,IndiHomeCare,in,Depok,0,3,0,https://x.com/rangerbiru_17/status/1849067911199232011
-1@IndiHomeCare @IndiHome woi yg bener lah. byr internet lu kudu pake nmr indihome trs nmr indihome ada'a di aplikasi lu trs aplikasi lu gbs dibuka karna disuruh pindah ke mytelkom di mytelkom gbs login karna nomer indihomenya ga gua tau sdngkan no nya ada di aps lu. aneh bener,1.85E+18,,IndiHomeCare,in,Depok,0,1,0,https://x.com/rangerbiru_17/status/1849067189376352726
-1@IndiHomeCare sore saya pengguna indihome Untuk no internet an ary purbaningsih 121101207281. Mohon dibantu dibantu mau bayar tapi tidak bisa. Gagal terus.,1.85E+18,,IndiHomeCare,in,"Jakarta, indonesia",0,2,0,https://x.com/Rhesapramudita/status/1849023678706790903
1mau menurunkan kecepatan internet indihome,1.85E+18,,,in,Yogyakarta,0,1,0,https://x.com/vinasantosa/status/1848999977701568570
-1@IndiHome tolong dong ini saya mau bayar tagihan gk bisa terus dri tgl 20 kmrn keterangan nya gak ada tagihan pdhl blm bayar dan skrng dapet chat klo internet saya diblokir,1.85E+18,,IndiHome,in,she/her,0,2,0,https://x.com/bootopiaa/status/1848997162623111621
1@IndiHomeCare Cara menghubungkan akun indihome dengan telkomselnya gimana ya? Saya dapat info internet saya diblokir padahal sudah bayar minggu lalu bisa dibantu pengecekannya?,1.85E+18,,IndiHomeCare,in,,0,1,0,https://x.com/ekmigasari/status/1848991796875170178
-1@IndiHomeCare tai banget dr jam stngh 12 lampu los nyala inet lgsg mokat.. ga usah nyuruh cek kabel dll basi tau..,1.85E+18,,IndiHomeCare,in,,0,2,0,https://x.com/sayurlodeh32/status/1848419883836645823
-1@IndiHomeCare Sudah tapi masih gangguan min,1.85E+18,,IndiHomeCare,in,,0,0,0,https://x.com/Bakso16500Bakso/status/1848418546474475767
-1@IndiHomeCare mohon cek dm. Internet mati ada tanda los di modem. Trims,1.85E+18,,IndiHomeCare,in,Indonesia,0,1,0,https://x.com/zhe_benny/status/1848418202503811101
-1@IndiHomeCare @yelecyn Kabel terpasang lampu merah los kedip tolong segera baiki,1.85E+18,,IndiHomeCare,in,,0,1,0,https://x.com/Bakso16500Bakso/status/1848417656166354974
-1@IndiHomeCare @yelecyn Sudah kabel aman Lampu nyala merah los dari jam 11 sampai sekaran gangguan,1.85E+18,,IndiHomeCare,in,,0,2,0,https://x.com/Bakso16500Bakso/status/1848417307087028244
-1Gangguan mulu lu @IndiHomeCare,1.85E+18,,,in,,0,1,0,https://x.com/Galih_RN29/status/1848416507757531298
-1@IndiHomeCare @yelecyn Min tolong dong indehome saya los ini daerah Samarinda,1.85E+18,,IndiHomeCare,in,,0,2,0,https://x.com/Bakso16500Bakso/status/1848415295402320162
1@makatita64 @IndiHomeCare @makatita64 Baik Sahabat @makatita64 mohon maaf atas ketidaknyamanannya. Terimakasih atas update informasi yg diberikan. Sebagai informasi apabila membutuhkan informasi lebih lanjut Sahabat dapat menghubungi contact point Bank Mandiri melalui halaman utama aplikasi Livin by,1.85E+18,,makatita64,in,Jakarta,0,1,0,https://x.com/bankmandiri/status/1848404434545742327
-1@IndiHomeCare lama banget pelayanannya disemua channel,1.85E+18,,IndiHomeCare,in,,0,1,0,https://x.com/hadisnan/status/1848402895957643359
1Semoga mimpi indaah ya minnnnnn @IndiHomeCare,1.85E+18,,,in,Indonesia,0,1,0,https://x.com/nurhidaayaahh/status/1848401232727314808
1@IndiHomeCare Sudah di DM,1.85E+18,,IndiHomeCare,in,"Makassar, Indonesia",0,1,0,https://x.com/arazakmunir/status/1848400917034635571
-1@IndiHomeCare Gak guna juga . Ga ada hasil . KECEWA BANGET WOY!,1.85E+18,,IndiHomeCare,in,Lampung - Indonesia,0,1,0,https://x.com/BimaOktaviano/status/1848400766857572740
1@IndiHomeCare halo min mau tanya kenapa tagihan saya bulan ini naik ya? Berbeda dari biasanya.,1.85E+18,,IndiHomeCare,in,Indonesia,0,1,0,https://x.com/ddeviiii/status/1848400239503491074
1@IndiHomeCare anjay atmin beeru ada atmin goku ga,1.85E+18,,IndiHomeCare,in,,0,0,0,https://x.com/enturopy/status/1848399218903601543
1@IndiHomeCare @TelkomIndonesia Lho. Udah kok. 5 menit yang lalu.,1.85E+18,,IndiHomeCare,in,Tasikmalaya â˜© West Java â˜© ID,0,1,0,https://x.com/JohanJanitra/status/1848397620852793829
-1@IndiHomeCare tidak bisa terkoneksi internet lampu merah pada modem berkedip!,1.85E+18,,IndiHomeCare,in,"Makassar, Indonesia",0,2,0,https://x.com/arazakmunir/status/1848396711649300838
1@IndiHomeCare balas aku dong,1.85E+18,,IndiHomeCare,in,,0,1,0,https://x.com/qballets/status/1848396674861064361
1@IndiHomeCare bilangin admin mikey rep twtku dong,1.85E+18,,IndiHomeCare,in,,0,1,0,https://x.com/enturopy/status/1848396559660314683
-1@IndiHomeCare kontol Buat muter lagu 3 menit di youtube aja gk bisa https://t.co/cedu5M22Ad,1.85E+18,https://pbs.twimg.com/media/GabOpI-awAA-14N.jpg,IndiHomeCare,in,,0,1,0,https://x.com/PawangHerrscher/status/1848392209625973011
